Time, Sensor 3, Sensor 2, Sensor 1, Sensor 0, 
1464,300,300,300, ,
1466,300,300,300, ,
1469,300,300,300, ,
1472,300,300,300, ,
1474,300,300,300, ,
1477,300,300,300, ,
1480,300,300,300, ,
1482,300,300,300, ,
1485,300,300,300, ,
1488,300,300,300,57.54,
1491, ,300,300,57.54,
1494, ,300,300,57.54,
1497,263.31, ,300,57.54,
1499,233.96, ,300,57.54,
1502,210.48, ,300,57.54,
1505,191.7, ,300,57.54,
1507,176.67, ,300,57.54,
1510,164.65, ,300,57.54,
1512,140.61, ,300,57.54,
1515,128.58, ,300,57.54,
1517,122.57, ,300,57.54,
1520,119.57, ,300,57.54,
1523,118.06, ,300,57.54,
1525,117.31, ,300,57.54,
1528,116.94, ,300,57.54,
1530,116.75,300, ,57.54,
1533,116.66,300, ,57.54,
1536,116.61,300, ,57.54,
1539,116.58,300, ,57.54,
1542,116.57,300, ,57.54,
1544,116.57,300, ,57.54,
1547,116.56,300, ,57.54,
1549,116.56,300, ,57.54,
1552,116.56,300, ,57.54,
1554,116.56,300, ,57.54,
1557,116.56,300, ,57.54,
1560,116.56,300, ,57.54,
1562,116.56,300, ,57.54,
1565,116.56,300,300, ,
1567,116.56,300,300, ,
1570,116.56,300,300, ,
1573,116.56,300,300, ,
1575,116.56,300,300, ,
1579,116.56,300,300, ,
1582,116.56,300,300, ,
1584,116.56,300,300, ,
1587,116.56,300,300, ,
1590,116.56,300,300, ,
1592,116.56,300,300, ,
1595,116.56,300,300, ,
1598,116.56,300,300, ,
1600,116.56,300,300,57.54,
1603, ,300,300,57.54,
1606, ,300,300,57.54,
1608, ,300,300,57.54,
1611, ,300,300,57.54,
1614, ,300,300,57.54,
1616, ,300,300,57.54,
1619, ,300,300,57.54,
1622, ,300,300,57.54,
1625, ,300,300,57.54,
1627, ,300,300,57.54,
1630, ,300,300,57.54,
1633, ,300,300,57.54,
1635, ,300,300,57.54,
1638,116.56, ,300,57.54,
1640,116.56, ,300,57.54,
1643,116.56, ,300,57.54,
1645,116.56, ,300,57.54,
1648,116.56, ,300,57.54,
1651,116.56, ,300,57.54,
1653,116.56, ,300,57.54,
1656,116.56, ,300,57.54,
1658,116.56, ,300,57.54,
1661,116.56, ,300,57.54,
1665,116.56, ,300,57.54,
1667,116.56, ,300,57.54,
1670,116.56, ,300,57.54,
1672,116.56,300, ,57.54,
1675,116.56,300, ,57.54,
1677,116.56,300, ,57.54,
1680,116.56,300, ,57.54,
1683,116.56,300, ,57.54,
1685,116.56,300, ,57.54,
1688,116.56,300, ,57.54,
1690,116.56,300, ,57.54,
1693,116.56,300, ,57.54,
1695,116.56,300, ,57.54,
1698,116.56,300, ,57.54,
1701,116.56,300, ,57.54,
1703,116.56,300, ,57.54,
1707,116.56,300,300, ,
1709,116.56,300,300, ,
1712,116.56,300,300, ,
1715,116.56,300,300, ,
1717,116.56,300,300, ,
1720,116.56,300,300, ,
1723,116.56,300,300, ,
